Host.Genotype,Symbiont.Genotype,Sporulated
126,126,1
126,126,1
126,126,1
126,126,0
126,126,1
126,126,1
126,126,1
126,126,0
126,126,1
126,126,0
126,126,0
126,126,0
126,126,1
126,126,1
126,126,1
126,126,0
126,126,1
126,126,1
126,126,1
126,126,0
126,126,1
126,126,1
126,126,1
126,126,1
126,126,1
126,126,1
126,126,0
126,126,0
126,126,1
126,126,1
126,126,1
126,126,0
126,126,1
126,126,1
126,126,1
126,126,1
126,126,1
126,126,1
126,126,1
126,126,0
126,215,0
126,215,0
126,215,0
126,215,0
126,215,0
126,215,0
126,215,0
126,215,0
126,215,0
126,215,0
126,215,0
126,215,0
126,215,0
126,215,0
126,215,0
126,215,0
126,215,0
126,215,0
126,215,0
126,215,0
126,215,1
126,215,0
126,215,0
126,215,0
126,215,0
126,215,0
126,215,0
126,215,0
126,215,1
126,215,1
126,215,0
126,215,0
126,215,1
126,215,1
126,215,0
126,215,0
126,215,0
126,215,0
126,215,0
126,215,0
126,305,1
126,305,1
126,305,0
126,305,0
126,305,0
126,305,0
126,305,0
126,305,0
126,305,1
126,305,1
126,305,1
126,305,0
126,305,1
126,305,0
126,305,0
126,305,0
126,305,0
126,305,0
126,305,0
126,305,0
126,305,1
126,305,0
126,305,0
126,305,0
126,305,1
126,305,0
126,305,0
126,305,0
126,305,0
126,305,0
126,305,0
126,305,0
126,305,0
126,305,0
126,305,0
126,305,0
126,305,0
126,305,0
126,305,0
126,305,0
126,313,1
126,313,1
126,313,1
126,313,0
126,313,0
126,313,0
126,313,0
126,313,0
126,313,1
126,313,0
126,313,0
126,313,0
126,313,0
126,313,0
126,313,0
126,313,0
126,313,1
126,313,1
126,313,0
126,313,0
126,313,1
126,313,0
126,313,0
126,313,0
126,313,0
126,313,0
126,313,0
126,313,0
126,313,1
126,313,1
126,313,1
126,313,0
126,313,1
126,313,0
126,313,0
126,313,0
126,313,1
126,313,0
126,313,0
126,313,0
126,319,1
126,319,1
126,319,0
126,319,0
126,319,1
126,319,0
126,319,0
126,319,0
126,319,1
126,319,1
126,319,1
126,319,0
126,319,1
126,319,0
126,319,0
126,319,0
126,319,1
126,319,1
126,319,0
126,319,0
126,319,1
126,319,1
126,319,0
126,319,0
126,319,1
126,319,1
126,319,1
126,319,0
126,319,1
126,319,1
126,319,1
126,319,1
126,319,1
126,319,0
126,319,0
126,319,0
126,319,1
126,319,1
126,319,1
126,319,0
215,126,1
215,126,1
215,126,1
215,126,0
215,126,1
215,126,1
215,126,1
215,126,0
215,126,1
215,126,1
215,126,0
215,126,0
215,126,1
215,126,0
215,126,0
215,126,0
215,126,1
215,126,1
215,126,1
215,126,0
215,126,1
215,126,1
215,126,0
215,126,0
215,126,1
215,126,1
215,126,1
215,126,1
215,126,1
215,126,0
215,126,0
215,126,0
215,126,1
215,126,1
215,126,1
215,126,0
215,126,1
215,126,1
215,126,0
215,126,0
215,215,1
215,215,1
215,215,0
215,215,0
215,215,1
215,215,1
215,215,0
215,215,0
215,215,1
215,215,0
215,215,0
215,215,0
215,215,1
215,215,1
215,215,0
215,215,0
215,215,1
215,215,0
215,215,0
215,215,0
215,215,1
215,215,0
215,215,0
215,215,0
215,215,1
215,215,0
215,215,0
215,215,0
215,215,1
215,215,1
215,215,1
215,215,0
215,215,0
215,215,0
215,215,0
215,215,0
215,215,0
215,215,0
215,215,0
215,215,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,1
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,222,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,1
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,305,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,1
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,313,0
215,319,1
215,319,0
215,319,0
215,319,0
215,319,1
215,319,0
215,319,0
215,319,0
215,319,0
215,319,0
215,319,0
215,319,0
215,319,1
215,319,1
215,319,1
215,319,0
215,319,0
215,319,0
215,319,0
215,319,0
215,319,0
215,319,0
215,319,0
215,319,0
215,319,0
215,319,0
215,319,0
215,319,0
215,319,1
215,319,0
215,319,0
215,319,0
215,319,0
215,319,0
215,319,0
215,319,0
215,319,0
215,319,0
215,319,0
215,319,0
215,0,1
215,0,1
215,0,1
215,0,0
215,0,1
215,0,1
215,0,0
215,0,0
215,0,1
215,0,1
215,0,1
215,0,0
215,0,1
215,0,1
215,0,0
215,0,0
215,0,1
215,0,1
215,0,1
215,0,1
215,0,1
215,0,1
215,0,1
215,0,0
215,0,1
215,0,1
215,0,1
215,0,0
215,0,1
215,0,1
215,0,1
215,0,0
215,0,1
215,0,1
215,0,1
215,0,0
215,0,1
215,0,1
215,0,1
215,0,0
222,126,1
222,126,1
222,126,0
222,126,0
222,126,0
222,126,0
222,126,0
222,126,0
222,126,1
222,126,0
222,126,0
222,126,0
222,126,0
222,126,0
222,126,0
222,126,0
222,126,0
222,126,0
222,126,0
222,126,0
222,126,0
222,126,0
222,126,0
222,126,0
222,126,0
222,126,0
222,126,0
222,126,0
222,126,0
222,126,0
222,126,0
222,126,0
222,126,1
222,126,0
222,126,0
222,126,0
222,126,1
222,126,0
222,126,0
222,126,0
222,222,0
222,222,0
222,222,0
222,222,0
222,222,0
222,222,0
222,222,0
222,222,0
222,222,0
222,222,0
222,222,0
222,222,0
222,222,0
222,222,0
222,222,0
222,222,0
222,222,0
222,222,0
222,222,0
222,222,0
222,222,0
222,222,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,1
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
222,305,0
