"","ï..Host.Genotype","Symbiont.Genotype","Sporulated"
"1",126,126,1
"2",126,126,1
"3",126,126,1
"4",126,126,0
"5",126,126,1
"6",126,126,1
"7",126,126,1
"8",126,126,0
"9",126,126,1
"10",126,126,0
"11",126,126,0
"12",126,126,0
"13",126,126,1
"14",126,126,1
"15",126,126,1
"16",126,126,0
"17",126,126,1
"18",126,126,1
"19",126,126,1
"20",126,126,0
"21",126,126,1
"22",126,126,1
"23",126,126,1
"24",126,126,1
"25",126,126,1
"26",126,126,1
"27",126,126,0
"28",126,126,0
"29",126,126,1
"30",126,126,1
"31",126,126,1
"32",126,126,0
"33",126,126,1
"34",126,126,1
"35",126,126,1
"36",126,126,1
"37",126,126,1
"38",126,126,1
"39",126,126,1
"40",126,126,0
"41",126,215,0
"42",126,215,0
"43",126,215,0
"44",126,215,0
"45",126,215,0
"46",126,215,0
"47",126,215,0
"48",126,215,0
"49",126,215,0
"50",126,215,0
"51",126,215,0
"52",126,215,0
"53",126,215,0
"54",126,215,0
"55",126,215,0
"56",126,215,0
"57",126,215,0
"58",126,215,0
"59",126,215,0
"60",126,215,0
"61",126,215,1
"62",126,215,0
"63",126,215,0
"64",126,215,0
"65",126,215,0
"66",126,215,0
"67",126,215,0
"68",126,215,0
"69",126,215,1
"70",126,215,1
"71",126,215,0
"72",126,215,0
"73",126,215,1
"74",126,215,1
"75",126,215,0
"76",126,215,0
"77",126,215,0
"78",126,215,0
"79",126,215,0
"80",126,215,0
"81",126,305,1
"82",126,305,1
"83",126,305,0
"84",126,305,0
"85",126,305,0
"86",126,305,0
"87",126,305,0
"88",126,305,0
"89",126,305,1
"90",126,305,1
"91",126,305,1
"92",126,305,0
"93",126,305,1
"94",126,305,0
"95",126,305,0
"96",126,305,0
"97",126,305,0
"98",126,305,0
"99",126,305,0
"100",126,305,0
"101",126,305,1
"102",126,305,0
"103",126,305,0
"104",126,305,0
"105",126,305,1
"106",126,305,0
"107",126,305,0
"108",126,305,0
"109",126,305,0
"110",126,305,0
"111",126,305,0
"112",126,305,0
"113",126,305,0
